ID,Sales
T1188341,43679.44
T1188342,43679.44
T1188343,43679.44
T1188344,43679.44
T1188345,43679.44
T1188346,43679.44
T1188347,43679.44
T1188348,43679.44
T1188349,43679.44
T1188350,43679.44
T1188351,43679.44
T1188352,43679.44
T1188353,43679.44
T1188354,43679.44
T1188355,43679.44
T1188356,43679.44
T1188357,43679.44
T1188358,43679.44
T1188359,43679.44
T1188360,43679.44
T1188361,43679.44
T1188362,43679.44
T1188363,43679.44
T1188364,43679.44
T1188365,43679.44
T1188366,43679.44
T1188367,43679.44
T1188368,43679.44
T1188369,43679.44
T1188370,43679.44
T1188371,43679.44
T1188372,43679.44
T1188373,43679.44
T1188374,43679.44
T1188375,43679.44
T1188376,43679.44
T1188377,43679.44
T1188378,43679.44
T1188379,43679.44
T1188380,43679.44
T1188381,43679.44
T1188382,43679.44
T1188383,43679.44
T1188384,43679.44
T1188385,43679.44
T1188386,43679.44
T1188387,43679.44
T1188388,43679.44
T1188389,43679.44
T1188390,43679.59
T1188391,43679.44
T1188392,43679.44
T1188393,43679.44
T1188394,43679.44
T1188395,43679.44
T1188396,43679.44
T1188397,43679.44
T1188398,43679.44
T1188399,43679.44
T1188400,43679.44
T1188401,43679.44
T1188402,43679.44
T1188403,43679.44
T1188404,43679.44
T1188405,43679.44
T1188406,43679.44
T1188407,43679.44
T1188408,43679.44
T1188409,43679.59
T1188410,43679.44
T1188411,43679.44
T1188412,43679.44
T1188413,43679.44
T1188414,43679.44
T1188415,43679.44
T1188416,43679.44
T1188417,43679.44
T1188418,43679.44
T1188419,43679.44
T1188420,43679.44
T1188421,43679.44
T1188422,43679.44
T1188423,43679.44
T1188424,43679.44
T1188425,43679.44
T1188426,43679.44
T1188427,43679.44
T1188428,43679.44
T1188429,43679.44
T1188430,43679.44
T1188431,43679.44
T1188432,43679.44
T1188433,43679.44
T1188434,43679.44
T1188435,43679.44
T1188436,43679.44
T1188437,43679.44
T1188438,43679.44
T1188439,43679.44
T1188440,43679.44
T1188441,43679.44
T1188442,43679.44
T1188443,43679.44
T1188444,43679.44
T1188445,43679.44
T1188446,43679.44
T1188447,43679.44
T1188448,43679.44
T1188449,43679.44
T1188450,43679.44
T1188451,43679.44
T1188452,43679.44
T1188453,43679.44
T1188454,43679.44
