,ID,Sales
0,T1188341,0.525857
1,T1188342,-0.3648923
2,T1188343,0.51812917
3,T1188344,-0.357696
4,T1188345,-0.28309757
5,T1188346,0.51812917
6,T1188347,0.525857
7,T1188348,-0.0045549273
8,T1188349,0.24846211
9,T1188350,-0.70600796
10,T1188351,0.2670969
11,T1188352,-0.28309757
12,T1188353,-0.29479545
13,T1188354,0.0728519
14,T1188355,-0.13240945
15,T1188356,-0.5451987
16,T1188357,0.09670386
17,T1188358,-1.2498946
18,T1188359,-0.3648923
19,T1188360,0.2221702
20,T1188361,-0.83906054
21,T1188362,-0.18486458
22,T1188363,-0.13240945
23,T1188364,-0.83906054
24,T1188365,-0.18486458
25,T1188366,-0.5432845
26,T1188367,-0.28309757
27,T1188368,-0.69112754
28,T1188369,-0.28309757
29,T1188370,0.16597666
30,T1188371,-0.28309757
31,T1188372,0.2670969
32,T1188373,-0.5282124
33,T1188374,-0.5451987
34,T1188375,0.51812917
35,T1188376,0.49062097
36,T1188377,-0.5451987
37,T1188378,-0.28309757
38,T1188379,-0.8559854
39,T1188380,0.51812917
40,T1188381,-0.5432845
41,T1188382,-0.28309757
42,T1188383,-0.72869885
43,T1188384,-0.5432845
44,T1188385,0.07729015
45,T1188386,-0.29479545
46,T1188387,0.51812917
47,T1188388,0.50986356
48,T1188389,-0.69112754
49,T1188390,2.0109274
50,T1188391,-0.29479545
51,T1188392,0.2691993
52,T1188393,0.51812917
53,T1188394,0.04980603
54,T1188395,-0.29479545
55,T1188396,0.51812917
56,T1188397,-0.29479545
57,T1188398,0.0728519
58,T1188399,-0.28309757
59,T1188400,0.09670386
60,T1188401,-0.3648923
61,T1188402,-1.3681643
62,T1188403,0.51812917
63,T1188404,-0.3648923
64,T1188405,-0.28309757
65,T1188406,-0.98857427
66,T1188407,0.525857
67,T1188408,-0.357696
68,T1188409,0.103802875
69,T1188410,-0.84795797
70,T1188411,0.525857
71,T1188412,-1.2498946
72,T1188413,-0.29479545
73,T1188414,-0.83906054
74,T1188415,-0.28309757
75,T1188416,0.0728519
76,T1188417,0.2670969
77,T1188418,-0.357696
78,T1188419,0.16597666
79,T1188420,0.50986356
80,T1188421,-1.3681643
81,T1188422,0.2691993
82,T1188423,0.50986356
83,T1188424,-0.29479545
84,T1188425,-0.28309757
85,T1188426,-0.29479545
86,T1188427,0.50986356
87,T1188428,-0.28309757
88,T1188429,0.51812917
89,T1188430,0.16597666
90,T1188431,-0.29479545
91,T1188432,-1.3430026
92,T1188433,0.525857
93,T1188434,-0.357696
94,T1188435,-0.6844634
95,T1188436,0.16597666
96,T1188437,0.50986356
97,T1188438,-0.84795797
98,T1188439,0.3212698
99,T1188440,-0.28309757
100,T1188441,-0.5432845
101,T1188442,-0.3648923
102,T1188443,-0.29479545
103,T1188444,-0.13240945
104,T1188445,-0.3648923
105,T1188446,-0.9159117
106,T1188447,0.51812917
107,T1188448,0.525857
108,T1188449,-0.28309757
109,T1188450,-0.357696
110,T1188451,0.2221702
111,T1188452,-1.3430026
112,T1188453,0.16597666
113,T1188454,-0.5432845
114,T1188455,0.51812917
115,T1188456,-0.9259509
116,T1188457,-0.90769017
117,T1188458,-0.3648923
118,T1188459,0.51812917
119,T1188460,-1.3681643
120,T1188461,0.04980603
121,T1188462,-0.28309757
122,T1188463,-1.3973663
123,T1188464,0.16597666
124,T1188465,-0.3648923
125,T1188466,-0.5451987
126,T1188467,-1.0933083
127,T1188468,-0.357696
128,T1188469,-0.29479545
129,T1188470,-1.3430026
130,T1188471,-0.28309757
131,T1188472,0.07729015
132,T1188473,0.07729015
133,T1188474,0.09670386
134,T1188475,-1.3430026
135,T1188476,-0.0045549273
136,T1188477,-0.357696
137,T1188478,-0.29479545
138,T1188479,-1.3430026
139,T1188480,0.04980603
140,T1188481,0.24846211
141,T1188482,0.07729015
142,T1188483,0.2670969
143,T1188484,0.24846211
144,T1188485,-0.83906054
145,T1188486,-1.3973663
146,T1188487,-0.10896912
147,T1188488,-0.29479545
148,T1188489,-0.28309757
149,T1188490,0.24846211
150,T1188491,-0.29479545
151,T1188492,-0.5282124
152,T1188493,-0.5432845
153,T1188494,0.2670969
154,T1188495,-0.74517214
155,T1188496,0.09670386
156,T1188497,-1.0933083
157,T1188498,-0.28309757
158,T1188499,-0.28309757
159,T1188500,0.49062097
160,T1188501,-0.5451987
161,T1188502,-0.28309757
162,T1188503,-0.6205412
163,T1188504,-0.5282124
164,T1188505,-0.5432845
165,T1188506,0.16597666
166,T1188507,-0.357696
167,T1188508,-0.28309757
168,T1188509,-0.6892842
169,T1188510,-0.28309757
170,T1188511,-0.5432845
171,T1188512,-0.13240945
172,T1188513,-0.6844634
173,T1188514,-0.357696
174,T1188515,0.50986356
175,T1188516,-0.28309757
176,T1188517,0.2691993
177,T1188518,-0.357696
178,T1188519,0.16597666
179,T1188520,-1.3681643
180,T1188521,0.2221702
181,T1188522,-0.29479545
182,T1188523,-0.83906054
183,T1188524,0.082784206
184,T1188525,0.51812917
185,T1188526,-0.83906054
186,T1188527,-0.29479545
187,T1188528,-0.70600796
188,T1188529,0.16597666
189,T1188530,-0.29479545
190,T1188531,0.2541072
191,T1188532,-0.357696
192,T1188533,-0.28309757
193,T1188534,-0.28309757
194,T1188535,0.525857
195,T1188536,0.51812917
196,T1188537,0.50986356
197,T1188538,0.50986356
198,T1188539,0.09670386
199,T1188540,-0.13240945
200,T1188541,-0.29479545
201,T1188542,0.51812917
202,T1188543,-0.29479545
203,T1188544,-0.357696
204,T1188545,-0.28309757
205,T1188546,-0.67425776
206,T1188547,-0.357696
207,T1188548,0.2670969
208,T1188549,-0.83906054
209,T1188550,-0.3648923
210,T1188551,-0.357696
211,T1188552,-1.3430026
212,T1188553,-0.29479545
213,T1188554,0.51812917
214,T1188555,-0.357696
215,T1188556,0.525857
216,T1188557,-1.2498946
217,T1188558,-0.67425776
218,T1188559,-0.3648923
219,T1188560,-0.29479545
220,T1188561,-0.13240945
221,T1188562,-0.74517214
222,T1188563,-0.357696
223,T1188564,0.50986356
224,T1188565,-0.13240945
225,T1188566,0.0728519
226,T1188567,0.16597666
227,T1188568,-1.2498946
228,T1188569,-0.29479545
229,T1188570,-0.28309757
230,T1188571,-0.6892842
231,T1188572,0.51812917
232,T1188573,-0.5282124
233,T1188574,-0.28309757
234,T1188575,-0.29479545
235,T1188576,0.51812917
236,T1188577,-0.357696
237,T1188578,-0.5282124
238,T1188579,-0.3648923
239,T1188580,-0.3648923
240,T1188581,-0.5451987
241,T1188582,-0.90769017
242,T1188583,-0.5432845
243,T1188584,-0.74517214
244,T1188585,2.0109274
245,T1188586,-0.357696
246,T1188587,0.16597666
247,T1188588,-0.5432845
248,T1188589,-1.0933083
249,T1188590,-0.29479545
250,T1188591,-0.9159117
251,T1188592,-0.541051
252,T1188593,-1.3430026
253,T1188594,0.51812917
254,T1188595,-0.5451987
255,T1188596,-0.28309757
256,T1188597,2.0109274
257,T1188598,0.51812917
258,T1188599,1.0779428
259,T1188600,-0.5432845
260,T1188601,0.07729015
261,T1188602,-0.8559854
262,T1188603,1.9044967
263,T1188604,-0.29479545
264,T1188605,0.16597666
265,T1188606,-0.90769017
266,T1188607,0.32221293
267,T1188608,0.0728519
268,T1188609,-0.8559854
269,T1188610,0.50986356
270,T1188611,-0.67425776
271,T1188612,0.09670386
272,T1188613,0.16597666
273,T1188614,0.525857
274,T1188615,-0.5282124
275,T1188616,0.49062097
276,T1188617,-0.67425776
277,T1188618,0.2670969
278,T1188619,-1.2498946
279,T1188620,-0.29479545
280,T1188621,-0.5451987
281,T1188622,-0.3648923
282,T1188623,0.16597666
283,T1188624,-0.84795797
284,T1188625,0.50986356
285,T1188626,-0.3648923
286,T1188627,-0.3648923
287,T1188628,0.07729015
288,T1188629,-0.5451987
289,T1188630,-0.28309757
290,T1188631,-0.67425776
291,T1188632,-0.13240945
292,T1188633,-0.357696
293,T1188634,-0.5432845
294,T1188635,0.0728519
295,T1188636,-0.6892842
296,T1188637,0.16597666
297,T1188638,-0.5282124
298,T1188639,0.51812917
299,T1188640,-0.84795797
300,T1188641,-0.3648923
301,T1188642,-0.18486458
302,T1188643,-0.13240945
303,T1188644,-0.8559854
304,T1188645,-0.72869885
305,T1188646,-0.5451987
306,T1188647,-0.5282124
307,T1188648,-0.28309757
308,T1188649,-0.8559854
309,T1188650,-0.6844634
310,T1188651,-0.5451987
311,T1188652,1.3268342
312,T1188653,0.16597666
313,T1188654,-0.29479545
314,T1188655,-0.9159117
315,T1188656,0.04980603
316,T1188657,0.07729015
317,T1188658,-0.13240945
318,T1188659,0.3212698
319,T1188660,-0.5451987
320,T1188661,0.525857
321,T1188662,0.51812917
322,T1188663,-0.357696
323,T1188664,-1.3430026
324,T1188665,-0.29479545
325,T1188666,0.2541072
326,T1188667,-0.29479545
327,T1188668,0.51812917
328,T1188669,0.51812917
329,T1188670,0.51812917
330,T1188671,0.51812917
331,T1188672,0.51812917
332,T1188673,0.525857
333,T1188674,-0.28309757
334,T1188675,0.16597666
335,T1188676,-0.28309757
336,T1188677,-0.90769017
337,T1188678,0.5614135
338,T1188679,0.525857
339,T1188680,-0.84795797
340,T1188681,-0.90769017
341,T1188682,0.2221702
342,T1188683,0.0728519
343,T1188684,-0.84795797
344,T1188685,0.51812917
345,T1188686,-0.357696
346,T1188687,0.16597666
347,T1188688,-0.5432845
348,T1188689,0.16597666
349,T1188690,-0.357696
350,T1188691,0.24846211
351,T1188692,-0.28309757
352,T1188693,0.51812917
353,T1188694,-0.98857427
354,T1188695,-0.67425776
355,T1188696,-0.0045549273
